,verbs,freq
0,explained,270
1,observed,1389
2,affected,91
3,including,234
4,show,313
5,made,141
6,model,45
7,differing,47
8,reported,2865
9,harvey,1
10,regarding,108
11,corresponds,20
12,ref,34
13,features,18
14,attributed,213
15,resulted,123
16,cell,57
17,suggested,434
18,removal,7
19,become,37
20,describing,11
21,progeny,3
22,appears,177
23,reduced,247
24,range,46
25,included,124
26,assay,33
27,balf,1
28,increased,581
29,combined,49
30,defining,8
31,assessing,13
32,used,779
33,concluded,104
34,related,248
35,reached,41
36,concerning,33
37,persists,2
38,sight,4
39,seems,242
40,suggest,362
41,remains,73
42,changes,13
43,balogh,3
44,outlined,8
45,found,2453
46,see,348
47,implied,15
48,lysozyme,1
49,shown,644
50,obtained,839
51,analyze,4
52,nicolini,2
53,excited,13
54,peak,25
55,residues,3
56,excitation,1
57,conversion,5
58,might,400
59,albright,2
60,worthwhile,2
61,examine,11
62,based,429
63,indicated,170
64,judged,11
65,encoding,13
66,tended,48
67,contradict,50
68,associated,564
69,coding,13
70,confounded,4
71,seated,3
72,gives,23
73,stretched,4
74,decreasing,86
75,published,184
76,constrain,2
77,apply,14
78,measured,320
79,complicated,19
80,captured,13
81,differed,69
82,maarof,1
83,displayed,33
84,achieve,18
85,guiding,4
86,constituted,5
87,indicate,218
88,scaffolding,2
89,valued,2
90,contributed,30
91,interiorizing,3
92,circumnavigating,1
93,implementing,4
94,showing,138
95,mri,3
96,suggesting,211
97,study,728
98,showed,658
99,marked,48
100,may,1722
101,explain,155
102,target,16
103,compared,838
104,tuned,4
105,set,78
106,font,1
107,indicating,165
108,binding,136
109,could,844
110,result,226
111,rmed,2
112,rejected,16
113,grew,3
114,rated,2
115,contrast,404
116,control,27
117,believe,46
118,alloy,6
119,nondepressed,1
120,view,17
121,viewed,18
122,account,74
123,considered,209
124,rubin,2
125,fast,7
126,expected,243
127,cod,11
128,ripple,1
129,height,33
130,pronounced,17
131,concealed,2
132,agrees,32
133,removed,21
134,created,7
135,consider,45
136,resulting,94
137,diminished,13
138,agerelated,2
139,cytotoxic,2
140,regards,3
141,remain,34
142,forgetting,2
143,presented,293
144,described,254
145,discussed,89
146,proton,2
147,mixing,34
148,neglected,9
149,utilizing,6
150,find,423
151,simulate,4
152,assume,37
153,better,10
154,diode,1
155,optimized,6
156,produced,143
157,averaged,20
158,entering,10
159,derived,121
160,skin,6
161,either,8
162,precede,2
163,preceded,7
164,recorded,114
165,due,206
166,grazing,7
167,determined,134
168,paasche,1
169,bovet,1
170,allowed,30
171,learning,95
172,providing,43
173,refl,1
174,ected,1
175,lee,19
176,feedback,8
177,argued,46
178,macgregor,1
179,according,153
180,released,40
181,pass,1
182,returned,4
183,recycling,12
184,injected,8
185,denatured,4
186,conclude,31
187,involved,113
188,reconciled,2
189,given,241
190,would,424
191,spreading,7
192,accrues,3
193,representing,9
194,solving,14
195,tested,67
196,imply,35
197,relevant,6
198,bestow,1
